Index,Framboise,Mure
1,49,75
2,51,75
3,54,75
4,57,74
5,59,74
6,58,68
7,58,53
8,59,45
9,61,56
10,60,59
11,60,62
12,57,65
13,55,65
14,48,58
15,43,58
16,43,59
17,37,57
18,34,51
19,29,51
20,30,36
21,31,38
22,40,18
23,49,0
24,49,0
25,49,0
26,49,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,44,0
33,44,0
34,44,0
35,44,0
36,45,70
37,44,68
38,48,69
39,45,67
40,45,60
41,46,60
42,42,77
43,42,66
44,42,77
45,41,71
46,42,74
47,42,76
48,46,55
49,48,65
50,51,70
51,51,71
52,45,73
53,52,75
54,49,75
55,51,75
56,54,75
57,57,74
58,59,74
59,58,68
60,58,53
61,59,45
62,61,56
63,60,59
64,60,62
65,57,65
66,55,65
67,48,58
68,43,58
69,43,59
70,37,57
71,34,51
72,29,51
73,30,36
74,31,38
75,40,18
76,49,0
77,49,0
78,49,0
79,49,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,44,0
86,44,0
87,44,0
88,44,0
89,45,70
90,44,68
